"Timestamp","Algorithm","Filename","Height-Bound","File Size", "Parse Size","Maximum Height","Average Height","Variance Height","msec runtime","ru_maxrss"

Mon Nov 17 12:19:26 2025,lzhb3SAaz,input_data/dna.001.1,4294967295,104857600,198363,20,5.27542,7.32893,57278,3432132

Mon Nov 17 12:27:27 2025,lzhb3SAaz,input_data/einstein.de.txt,4294967295,92758441,28227,609,88.9258,5397.04,44589,3278424



Mon Nov 17 12:00:45 2025,lzhb3SAaz_sum,input_data/dna.001.1,10,104857600,1284017,10,5.07361,6.28129,128493,3432316

Mon Nov 17 11:59:28 2025,lzhb3SAaz_sum,input_data/dna.001.1,15,104857600,208565,15,5.26245,7.2003,64043,3431944

Mon Nov 17 12:03:01 2025,lzhb3SAaz_sum,input_data/dna.001.1,20,104857600,198379,20,5.15491,7.07936,77852,3431944


Mon Nov 17 12:08:15 2025,lzhb3SAaz_sum,input_data/einstein.de.txt,15,92758441,297755,15,7.03728,9.26448,71627,3278428

Mon Nov 17 12:06:30 2025,lzhb3SAaz_sum,input_data/einstein.de.txt,200,92758441,35119,200,46.1247,1375.33,61105,3278260

Mon Nov 17 12:09:55 2025,lzhb3SAaz_sum,input_data/einstein.de.txt,300,92758441,30834,300,66.0298,2902.19,63943,3278420



Mon Nov 17 12:13:03 2025,lzhb3SAaz,input_data/dna.001.1,10,104857600,1149574,10,5.17746,6.58262,116269,3431748

Mon Nov 17 12:15:34 2025,lzhb3SAaz,input_data/dna.001.1,15,104857600,207558,15,5.38213,7.43845,63735,3431940

Mon Nov 17 12:16:56 2025,lzhb3SAaz,input_data/dna.001.1,20,104857600,198363,20,5.27542,7.32893,76882,3432016



Mon Nov 17 12:21:06 2025,lzhb3SAaz,input_data/einstein.de.txt,15,92758441,282581,15,7.08061,9.21674,71807,3278404

Mon Nov 17 12:23:11 2025,lzhb3SAaz,input_data/einstein.de.txt,200,92758441,36484,200,46.0015,1378.51,61604,3278624

Mon Nov 17 12:26:13 2025,lzhb3SAaz,input_data/einstein.de.txt,300,92758441,31695,300,67.355,3119.44,59987,3278620
