DATASET,TYPE,INPUT_SIZE,QUERIES,SPACE,CONSTRUCTION_TIME,QUERY_TIME_TOTAL,malloc_count_TOTAL,malloc_count_PEAK,malloc_count_after_construction_bytes
einstein,lzend,467626544,512000,1367248,4878,12214,3747230426,3742760520,1371789
influenza,lzend,154808555,512000,10832782,2939,3679,1290761058,1252523290,10837317
coreutils,lzend,205281778,512000,18016040,4354,3543,1734358396,1665717780,18020575

einstein,native_grammar,467626544,512000,251536,103,464541,19326113,1553239,6030908
influenza,native_grammar,154808555,51200,1126280,726,619773,126977271,76741307,39499686
coreutils,native_grammar,205281778,512000,5009776,1664,1813160,343323182,204881275,107453166

einstein,sample_scan_512,467626544,512000,11211544,129822,754,7553368498,465790200,16990933
influenza,sample_scan_512,154808555,512000,4754612,45102,894,2614362220,293704368,43128035
coreutils,sample_scan_512,205281778,512000,9821068,69787,1518,3632860899,204881292,112264475
